,Code,Year,Deaths,Fertility,GDP ,GenderInequality,LifeExpectancy,tertiary_education,Income
15828,PRT,1970,0.7319943787328727,0.8893505465697187,0.7491006139122875,1.0,0.5679195028114825,0.0,high_income
15829,PRT,1971,0.664480618339384,0.8838106543997626,0.8391817543044713,1.0,0.5620005918910922,0.02258953168044076,high_income
15830,PRT,1972,0.5972596322754421,0.8149082455359352,1.0,1.0,0.6300680674755845,0.045179063360881545,high_income
15831,PRT,1973,0.5343131514228833,0.7665331156947125,1.0,1.0,0.6123113347144123,0.06776859504132231,high_income
15832,PRT,1974,0.4786274739430847,0.7351239056239798,1.0,1.0,0.627108612015389,0.09035812672176306,high_income
15833,PRT,1975,0.4299098255064996,0.7619330266607311,1.0,1.0,0.6182302456348031,0.11294765840220386,high_income
15834,PRT,1976,0.3852910176835695,0.7900281940940793,1.0,1.0,0.627108612015389,0.12947658402203857,high_income
15835,PRT,1977,0.34324862396065114,0.7249839244200427,1.0,1.0,0.662622077537733,0.1460055096418733,high_income
15836,PRT,1978,0.3049537416559316,0.6105752584458625,1.0,1.0,0.6774193548387095,0.16253443526170802,high_income
15837,PRT,1979,0.27274856540578524,0.5461740119701243,1.0,1.0,0.7010949985202721,0.17906336088154268,high_income
15838,PRT,1980,0.24634032088066518,0.5112034426472771,1.0,1.0,0.7040544539804676,0.19559228650137742,high_income
15839,PRT,1981,0.2229769293828317,0.455458277687095,1.0,1.0,0.7099733649008584,0.24132231404958676,high_income
15840,PRT,1982,0.20096029980091346,0.4253351140129593,1.0,1.0,0.7336490085824209,0.2870523415977962,high_income
15841,PRT,1983,0.18046609673263847,0.3682544393332345,1.0,1.0,0.7336490085824209,0.3327823691460055,high_income
15842,PRT,1984,0.16225553343482843,0.33926893208685766,1.0,1.0,0.7395679195028116,0.3785123966942149,high_income
15843,PRT,1985,0.14627005504157395,0.25488450314092104,1.0,1.0,0.7484462858833975,0.4242424242424242,high_income
15844,PRT,1986,0.13186555802787212,0.2234258297472424,1.0,1.0,0.7602841077241785,0.462258953168044,high_income
15845,PRT,1987,0.11839793886871999,0.20260177078696157,1.0,1.0,0.7750813850251551,0.5002754820936638,high_income
15846,PRT,1988,0.10586719756411758,0.19631992877281496,1.0,1.0,0.7750813850251551,0.5382920110192837,high_income
15847,PRT,1989,0.09450755357770231,0.1790572290646486,1.0,1.0,0.7928381177863274,0.5763085399449035,high_income
15848,PRT,1990,0.08437756177538354,0.1707968541326607,1.0,1.0,0.7810002959455459,0.6143250688705234,high_income
15849,PRT,1991,0.07512589296170512,0.17188504723747347,1.0,0.9735449735449735,0.7780408404853507,0.6633608815426997,high_income
15850,PRT,1992,0.06657688253893898,0.16184399267942828,1.0,0.9206349206349206,0.798757028706718,0.712396694214876,high_income
15851,PRT,1993,0.05890619510481321,0.14868674877578286,1.0,0.91005291005291,0.7957975732465226,0.7614325068870522,high_income
15852,PRT,1994,0.05269937931842136,0.11653558886085968,1.0,0.8518518518518519,0.8224326723882806,0.8104683195592286,high_income
15853,PRT,1995,0.047839325447944725,0.09937181579858538,1.0,0.8306878306878307,0.8194732169280851,0.8595041322314049,high_income
15854,PRT,1996,0.04403325916383651,0.11500222584953264,1.0,0.8253968253968254,0.8165137614678899,0.8876033057851239,high_income
15855,PRT,1997,0.04092985127064059,0.1274175199089875,1.0,0.8518518518518519,0.8283515833086713,0.915702479338843,high_income
15856,PRT,1998,0.038060662841082095,0.13018746599396552,1.0,0.8148148148148148,0.8342704942290616,0.943801652892562,high_income
15857,PRT,1999,0.0351914744115236,0.14448236632536976,1.0,0.6507936507936508,0.8401894051494524,0.971900826446281,high_income
15858,PRT,2000,0.03197095678650896,0.16421823218083795,1.0,0.6772486772486772,0.854986682450429,1.0,high_income
15859,PRT,2001,0.02839910996603818,0.12232279764554586,1.0,0.6349206349206349,0.8668245042912105,0.9316804407713498,high_income
15860,PRT,2002,0.024534488816020612,0.12395508730276507,1.0,0.6296296296296297,0.8727434152116011,0.8633608815426997,high_income
