AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population
11.8402,,,175415.180411,22117996.0,2.51799852637512,24.282,4.716,,76.693,0.368716398786842,20.4,2.00739866314238,27.371,0.605,0.593,10.73,34.508,,,,42228415.0
12.3804,,,171158.234285,23056512.0,2.51799852637512,23.583,4.716,,76.88,0.368716398786842,20.0,1.93398334424168,26.811,0.58,0.519,10.73,34.508,,,,43053054.0
14.2277,,,147688.69383,22109122.0,2.51799852637512,22.781,4.718,,77.063,0.368716398786842,19.5,1.83653350440444,26.267,0.607,0.539,10.73,34.508,,,,43851043.0
0.441953,,,1429.044662,,,,,,,,7.3,1.57527263657523,7.605,,,30.57,,,,,70048.0
0.441953,,,1546.913267,,,,,,,,6.9,2.94444704550301,7.944,,,18.4,,,,,70048.0
0.385887,,,1755.992896,,,,,,,,6.5,3.93669093122378,8.35899999999999,,,31.03,,,,,70048.0
0.419118,,,2361.635625,,,,,,,,6.2,4.37414382506083,8.79300000000001,,,30.98,,,,,73180.0
0.414743,,,2895.042252,,,,,,,,5.9,4.10952558964603,9.249,,,28.5,,,,,76250.0
0.380576,,,3159.831266,,,,,,,,5.6,3.37961909341765,9.715,,,19.56,,,,,78871.0
0.353523,,,3456.261316,,,,,,,,5.3,2.65738179504038,10.193,,,24.12,,,,,80995.0
0.368797,,,3952.395237,,,,,,,,5.0,2.06144997957326,10.692,,,22.49,,,,,82682.0
0.406918,,,4085.783663,,,,,,,,4.7,1.41468175747827,10.996,,,25.47,,,,,83860.0
0.418929,,,3674.186277,,,,,,,,4.4,0.714114761731409,11.088,,,17.44,,,,,84461.0
0.466508,,,3446.565601,,,,,,,,4.1,-0.008288192290815,11.181,,,19.72,,,,,84454.0
0.490561,,,3624.386229,,,,,,,,3.9,-0.839471761400757,11.274,,,17.23,,,,,83748.0
0.601165,,,3188.830334,,,,,,,,3.7,-1.58992366767347,11.369,,,13.39,,,,,82427.0
0.585559,,,3192.603086,,,,,,,,3.5,-2.03074436920753,11.463,,,9.66,,,,,80770.0
0.537623,,,3267.334446,,,,,,,,3.3,-1.94651826894114,11.559,,,18.83,,,,,79213.0
0.51342,,,2788.757749,,,,,,,,3.1,-1.55213476921424,11.655,,,13.73,,,,,77993.0
0.521999,,,2894.646184,,,,,,,,2.9,-0.898980862435393,11.752,,,10.09,,,,,77295.0
0.559539,,,3000.160225,,,,,,,,2.8,-0.38628103925755,11.85,,,12.75,,,,,76997.0
0.546368,,,3218.419456,,,,,,,,2.6,0.0142852505031622,11.938,,,18.6,,,,,77008.0
0.542635,,,3155.149348,,,,,,,,2.5,0.179041785311253,12.016,,,16.5,,,,,77146.0
0.542635,,,2864.399402,,,,,,,,2.4,0.154134127179226,12.084,,,16.5,,,,,77265.0
8.15635,,,12207.354573,,1.75046215925392,48.15,18.036,,46.522,5.68565913345932,121.5,3.27721534718274,49.913,0.355,0.271,2.74,38.191,,,,16395476.0
8.15635,,,11948.601236,,2.09765741405119,48.027,17.597,,47.059,5.25528016391267,118.2,3.30117378495335,48.726,0.355,0.277,5.97,39.093,,,,16945753.0
5.83955,,,15285.592487,,1.53465666312347,47.911,17.09,,47.702,4.73517371669085,114.5,3.32926238194308,47.539,0.355,0.332,4.19,38.249,,,,17519418.0
6.19839,,,17812.704626,,1.75230259300346,47.786,16.522,,48.44,4.29415211075955,110.4,3.37879436557856,46.355,0.394,0.429,4.26,37.929,,,,18121477.0
6.25088,,,23552.04585,,1.53605411909184,47.639,15.903,,49.263,3.90746344227038,105.7,3.45298754865782,45.173,0.409,0.428,5.66,38.092,,,,18758138.0
5.06042,,,36970.878079,,1.48249344844686,47.453,15.24,,50.165,3.52206321481396,100.9,3.53760476294198,44.0,0.416,0.451,4.82,38.001,,,,19433604.0
5.19129,,,52381.025105,,1.33426262703696,47.215,14.539,,51.143,3.19396973622733,95.7,3.61958411912021,43.236,0.416,0.451,4.72,38.432,,,,20149905.0
5.24228,,,65266.415707,,1.3690098069076,46.92,13.815,,52.177,2.90285342087374,90.6,3.68060116794567,42.476,0.43,0.451,4.52,37.879,,,,20905360.0
4.80534,,,88538.664888,,1.31959406579676,46.563,13.085,,53.243,2.64275566341579,85.5,3.71055489102729,41.718,0.424,0.444,4.06,37.259,,,,21695636.0
6.6212,,,70307.193221,,1.27041499897552,46.143,12.367,,54.311,2.38686187237249,80.6,3.70384181489182,40.966,0.44,0.456,5.78,36.593,,,,22514275.0
6.18029,,,83799.47893,,1.22384028319455,45.656,11.68,,55.35,2.15145893775229,75.9,3.67149333263444,40.217,0.456,0.466,4.25,37.941,,,,23356247.0
5.84568,,,111789.745968,,1.18062765597075,45.102,11.039,,56.33,1.96784206075322,71.5,3.63415021537353,39.472,0.456,0.466,4.58,37.709,,,,24220660.0
6.06963,,,128052.913438,,1.13913402447288,44.493,10.451,,57.236,1.81914960030337,67.4,3.59775453949706,38.732,0.456,0.462,4.2,38.868,,,,25107925.0
6.5075,,,136709.891897,,1.0988687944085,43.847,9.921,,58.054,1.71832662322467,63.7,3.55199742692341,37.998,0.458,0.476,4.58,37.848,,,,26015786.0
