,Code,Year,Deaths,Fertility,GDP ,GenderInequality,LifeExpectancy,tertiary_education
147,DZA,2010,23336.0,2.8434,,0.519,73.8,
148,ECU,1990,16301.0,3.7444,8582411264.0,0.61,69.3,5.83
149,ECU,1995,12830.0,3.4026,15482336256.0,0.594,71.0,6.23
150,ECU,2000,9499.0,3.1019,12113387520.0,0.505,72.8,
151,ECU,2005,7461.0,2.7998,22828814336.0,0.479,74.5,6.16
152,ECU,2010,6082.0,2.6148,,0.432,75.4,
153,EGY,1990,158470.0,4.484,24290058240.0,0.665,64.1,1.87
154,EGY,1995,114805.0,3.8444,38120988672.0,0.635,66.3,2.18
155,EGY,2000,82509.0,3.4424,65986387968.0,0.617,68.0,4.19
156,EGY,2005,65789.0,3.1507,49326968832.0,0.575,68.8,5.29
157,EGY,2010,62544.0,3.2127,,0.557,69.7,6.65
158,ESP,1990,,1.3588,301356711936.0,,77.0,4.23
159,ESP,1995,2633.0,1.1564,388400250880.0,0.144,78.2,8.01
160,ESP,2000,2118.0,1.2159,393520054272.0,0.129,79.4,10.69
161,ESP,2005,2183.0,1.3307,636499722240.0,0.124,80.3,13.53
162,ESP,2010,1907.0,1.3752,926548623360.0,0.105,82.0,14.96
163,EST,1995,240.0,1.379,2771447552.0,0.374,68.7,11.41
164,EST,2000,140.0,1.3491,3757903872.0,0.279,71.3,15.0
165,EST,2005,101.0,1.517,7703323136.0,0.225,73.2,16.58
166,EST,2010,69.0,1.7135,12616536064.0,0.166,75.7,18.87
167,FIN,1990,427.0,1.7785,79699484672.0,,75.0,
168,FIN,1995,327.0,1.8066,85037834240.0,0.092,76.6,9.49
169,FIN,2000,249.0,,82973204480.0,0.084,77.7,10.88
170,FIN,2005,217.0,1.7976,112439394304.0,0.083,79.0,11.7
171,FIN,2010,180.0,,,0.07,80.0,12.35
172,FJI,1990,,3.4143,752981568.0,0.526,,3.65
173,FJI,1995,510.0,3.2674,1248546304.0,0.495,66.3,4.82
174,FJI,2000,449.0,3.0264,1113080320.0,0.412,66.3,5.75
175,FJI,2005,445.0,2.8849,1653692800.0,0.435,66.6,6.37
