,Unnamed,Code,Year,Deaths,Fertility,GDP ,GenderInequality,LifeExpectancy,tertiary_education
19912,8503,HKG,2006,,0.0542942426846366,0.5932149006458115,,0.8664122137404581,0.9538290788013318
19913,8504,HKG,2007,,0.06431188096422595,0.5964214863212758,,0.8740458015267176,0.9076581576026638
19914,8505,HKG,2008,,0.06960336484102932,0.6730724075568728,,0.8816793893129773,0.8614872364039956
19915,8506,HKG,2009,,0.0686083849667586,0.7757239427110901,,0.8893129770992364,0.8153163152053274
19916,8507,HKG,2010,,0.08432454434444395,0.8355994374621246,,0.9045801526717557,0.7691453940066594
19917,8508,HKG,2011,,0.0875356157568631,0.8760373908196901,,0.9122137404580154,0.7691453940066594
19918,8509,HKG,2012,,0.1034100673872733,0.9391997124629786,,0.9274809160305342,0.7691453940066594
19919,8510,HKG,2013,,0.11856089729094116,0.9965597912561032,,0.9351145038167938,0.7691453940066594
19920,8511,HKG,2014,,0.10282212473429511,1.0,,0.946564885496183,0.7691453940066594
19921,8512,HKG,2015,,0.1089276830536837,1.0,,0.9541984732824427,0.7691453940066594
19922,8513,HKG,2016,,0.10397539686129076,1.0,,0.9618320610687023,0.7691453940066594
19923,8514,HKG,2017,,0.08690244674596351,1.0,,0.9770992366412216,0.7691453940066594
19924,8515,HKG,2018,,0.07444258513861877,1.0,,0.9885496183206108,0.7691453940066594
19925,8516,HKG,2019,,0.06528424765953597,1.0,,0.9923664122137403,0.7691453940066594
19926,8517,HKG,2020,,0.028153407806069362,1.0,,0.9885496183206108,0.7691453940066594
19927,8518,HKG,2021,,0.0,1.0,,1.0,0.7691453940066594
19928,8953,IMN,1950,,0.558466868774361,,,0.0,
19929,8954,IMN,1951,,0.5181175111881045,,,0.04663212435233152,
19930,8955,IMN,1952,,0.467951494153313,,,0.13471502590673579,
19931,8956,IMN,1953,,0.4016168615562292,,,0.1813471502590677,
19932,8957,IMN,1954,,0.3391078388912947,,,0.16580310880828988,
19933,8958,IMN,1955,,0.30222318463981523,,,0.2020725388601035,
19934,8959,IMN,1956,,0.41691930128482735,,,0.1813471502590677,
19935,8960,IMN,1957,,0.5080121264616718,,,0.18652849740932645,
19936,8961,IMN,1958,,0.6891150570232422,,,0.18652849740932645,
19937,8962,IMN,1959,,0.7459217554496894,,,0.2124352331606218,
19938,8963,IMN,1960,,0.9462249169914826,,,0.15544041450777235,
19939,8964,IMN,1961,,0.8718059766132525,,,0.11398963730569961,
19940,8965,IMN,1962,,0.7916847119965352,,,0.15025906735751285,
19941,8966,IMN,1963,,0.8124729320051969,,,0.10880829015544047,
19942,8967,IMN,1964,,0.8147827342283817,,,0.17616580310880817,
19943,8968,IMN,1965,,0.792767431788653,,,0.18652849740932645,
19944,8969,IMN,1966,,0.7388479861411866,,,0.2020725388601035,
19945,8970,IMN,1967,,0.67294644146095,,,0.2383419689119171,
19946,8971,IMN,1968,,0.6269669409556805,,,0.21761658031088055,
19947,8972,IMN,1969,,0.5879890284394398,,,0.19689119170984473,
19948,8973,IMN,1970,,0.7939945142197199,,,0.22279792746114008,
19949,8974,IMN,1971,,1.0,,,0.2383419689119171,
19950,8975,IMN,1972,,0.9697560271401761,,,0.20725388601036301,
19951,8976,IMN,1973,,0.7615851017756603,,,0.26943005181347124,
