,Entity,Code,Year,Deaths,LifeExpectancy,GenderInequality,GDP ,Fertility,tertiary_education
122,Cote d'Ivoire,CIV,2005,88010,51.8,0.669,9396676608.0,5.4596,2.11
123,Cote d'Ivoire,CIV,2010,79512,55.0,0.66,16104728576.0,5.088,2.13
124,Croatia,HRV,1995,494,73.2,0.286,14186281984.0,1.6271,4.53
125,Croatia,HRV,2000,381,74.6,0.191,14391292928.0,1.4655,6.29
126,Croatia,HRV,2005,284,75.4,0.158,24978749440.0,1.4968,8.73
127,Croatia,HRV,2010,235,76.8,0.136,38624047104.0,1.5456,11.04
128,Cuba,CUB,1990,2386,74.0,0.439,16132451328.0,1.8041,4.4
129,Cuba,CUB,1995,1713,74.6,0.421,19281655808.0,1.4712,5.28
130,Cuba,CUB,2000,1303,76.2,0.369,20201488384.0,1.5808,5.59
131,Cuba,CUB,2005,977,77.0,0.328,23454224384.0,1.4684,8.32
132,Cuba,CUB,2010,800,77.7,0.333,41631862784.0,1.6925,13.32
133,Cyprus,CYP,1990,164,73.5,0.361,3148795904.0,2.4055,11.57
134,Cyprus,CYP,1995,128,75.1,0.316,6282732544.0,2.0326,14.6
135,Cyprus,CYP,2000,82,76.6,0.239,6562802176.0,1.6368,15.89
136,Cyprus,CYP,2005,54,78.1,0.142,10048467968.0,1.4798,14.51
137,Cyprus,CYP,2010,43,79.7,0.13,16339603456.0,1.438,20.75
138,Czechia,CZE,1990,1552,71.4,0.29,22704957440.0,1.8967,5.94
139,Czechia,CZE,1995,921,73.2,0.229,37726765056.0,1.2802,5.47
140,Czechia,CZE,2000,488,75.0,0.176,40630247424.0,1.1553,5.11
141,Czechia,CZE,2005,436,76.2,0.152,74794344448.0,1.2986,5.38
142,Czechia,CZE,2010,378,77.6,0.139,133976317952.0,1.5091,7.59
143,Democratic Republic of Congo,COD,2005,325913,53.9,0.65,6580442624.0,6.5967,0.5
144,Democratic Republic of Congo,COD,2010,316388,56.4,0.656,13282238464.0,6.5868,0.46
145,Denmark,DNK,1990,544,74.9,0.09,77771849728.0,1.6656,8.48
146,Denmark,DNK,1995,436,75.3,0.093,117232992256.0,1.8007,10.37
147,Denmark,DNK,2000,376,76.8,0.075,108497641472.0,1.7661,12.31
148,Denmark,DNK,2005,323,78.2,0.055,145507205120.0,1.7996,14.53
149,Denmark,DNK,2010,255,79.2,0.049,206974959616.0,1.8602,14.98
150,Dominican Republic,DOM,1990,12404,67.1,0.58,3983730944.0,3.4109,2.01
151,Dominican Republic,DOM,1995,10157,69.0,0.557,10365855744.0,3.1009,2.38
152,Dominican Republic,DOM,2000,8370,69.4,0.504,15859766272.0,2.8587,2.78
153,Dominican Republic,DOM,2005,7542,70.9,0.494,18702176256.0,2.6046,2.55
154,Dominican Republic,DOM,2010,7259,72.1,0.491,34859962368.0,2.5385,2.06
155,Ecuador,ECU,1990,16301,69.3,0.61,8582411264.0,3.7444,5.83
156,Ecuador,ECU,1995,12830,71.0,0.594,15482336256.0,3.4026,6.23
157,Ecuador,ECU,2000,9499,72.8,0.505,12113387520.0,3.1019,6.98
158,Ecuador,ECU,2005,7461,74.5,0.479,22828814336.0,2.7998,6.16
159,Ecuador,ECU,2010,6082,75.4,0.432,45014769664.0,2.6148,5.19
160,Egypt,EGY,1990,158470,64.1,0.665,24290058240.0,4.484,1.87
161,Egypt,EGY,1995,114805,66.3,0.635,38120988672.0,3.8444,2.18
162,Egypt,EGY,2000,82509,68.0,0.617,65986387968.0,3.4424,4.19
163,Egypt,EGY,2005,65789,68.8,0.575,49326968832.0,3.1507,5.29
164,Egypt,EGY,2010,62544,69.7,0.557,141659930624.0,3.2127,6.65
165,El Salvador,SLV,1990,9826,62.6,0.54,2703756544.0,3.9468,4.4
166,El Salvador,SLV,1995,7314,66.3,0.527,6020163072.0,3.5769,5.65
167,El Salvador,SLV,2000,4958,69.9,0.529,8680733696.0,3.1397,6.54
168,El Salvador,SLV,2005,3293,70.4,0.494,9401555968.0,2.4553,6.39
169,El Salvador,SLV,2010,2370,71.8,0.424,13861473280.0,2.2394,3.92
170,Estonia,EST,1995,240,68.7,0.374,2771447552.0,1.379,11.41
171,Estonia,EST,2000,140,71.3,0.279,3757903872.0,1.3491,15.0
172,Estonia,EST,2005,101,73.2,0.225,7703323136.0,1.517,16.58
173,Estonia,EST,2010,69,75.7,0.166,12616536064.0,1.7135,18.87
174,Eswatini,SWZ,1990,2127,63.1,0.627,627770112.0,5.2502,1.62
175,Eswatini,SWZ,1995,2697,56.1,0.616,1076590848.0,4.4867,1.35
176,Eswatini,SWZ,2000,3606,47.3,0.63,1007586880.0,3.9957,0.94
177,Eswatini,SWZ,2005,3889,42.1,0.587,1421243904.0,3.6819,0.02
178,Eswatini,SWZ,2010,2772,46.6,0.552,2283102976.0,3.3561,1.64
179,Fiji,FJI,1990,618,65.5,0.526,752981568.0,3.4143,3.65
180,Fiji,FJI,1995,510,66.3,0.495,1248546304.0,3.2674,4.82
181,Fiji,FJI,2000,449,66.3,0.412,1113080320.0,3.0264,5.75
182,Fiji,FJI,2005,445,66.6,0.435,1653692800.0,2.8849,6.37
183,Fiji,FJI,2010,448,67.3,0.401,2032471424.0,2.7465,7.03
184,Finland,FIN,1990,427,75.0,0.108,79699484672.0,1.7785,5.67
185,Finland,FIN,1995,327,76.6,0.092,85037834240.0,1.8066,9.49
